Suburb/Town,Postcode,Clinic,Clinic Phone Number,Referral Contact,HHS
Bracewell,4695,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Bracken Ridge,4017,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Braemeadows,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Brampton Island,4741,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Bramston Beach,4871,Cairns CYMHS,4226 2700,cairnscymhsintake@health.qld.gov.au,Cairns & Hinterland
Brandon,4808,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Brandy Creek,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Branyan,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Brassall,4305,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Bray Park,4500,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Breadalbane,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Breamore,4313,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Breddan,4820,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Brendale,4500,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Bribie Island,4507,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Bridgeman Downs,4035,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Brigalow ,4412,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Brightly ,4751,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Brighton,4017,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Brightview,4311,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Brisbane Central,4000,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Brisk Bay,4805,Greater Whitsundays CYMHS (Bowen),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Broadbeach,4218,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Broadbeach,4218,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Broadbeach Waters,4218,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Broadbeach Waters,4218,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Broadmere,4420,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Bromelton,4285,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Bromfleet,4270,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Brookfield,4069,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Brookhill,4816,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Brooklands,4615,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Brooklands,4615,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Brookwater,4300,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Brooweena,4620,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Broughton,4820,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Browns Plains,4118,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Browns Plains,4118,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Bryden,4312,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Buaraba,4311,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Buaraba South,4311,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Bucasia,4750,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Buccan,4207,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Buderim,4556,Sunshine Coast,5202 9500,SC-MHAS-DaltonDriveHub-Admin@health.qld.gov.au,Sunshine Coast
Budgee,4359,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Builyan ,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Bukali,4630,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Bulgun,4854,Tully CYMHS, 4068 4111,CAMHS@health.qld.gov.au,Cairns & Hinterland
Bulimba,4171,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Bullawarra,4492,Charleville CYMHS,4621 2200,SWHHS-Mental_Health_Services_Charleville@health.qld.gov.au,South West
Bullo Downs,4492,Charleville CYMHS,4621 2200,SWHHS-Mental_Health_Services_Charleville@health.qld.gov.au,South West
Bullyard,4671,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Bunburra,4310,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Bundaberg,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Bundaberg Central,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Bundaberg East,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Bundaberg North,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Bundaberg South,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Bundaberg West,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Bundall,4217,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Bundamba,4304,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Bungadoo,4671,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Bungundarra,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Bungunya ,4494,Goondiwindi CYMHS,45782411,sd_cymhs@health.qld.gov.au,Darling Downs
Bunjurgen,4310,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Bunya,4055,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Bunya Creek,4655,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Bunya Mountains,4405,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Bunyaville,4053,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Buranda,4102,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Burbank,4156,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Burdell,4818,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Burgowan,4659,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Burketown,4830,Mount Isa CYMHS,4744 7103,mimhs@health.qld.gov.au,North West
Burleigh Heads,4220,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Burleigh Heads,4220,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Burleigh Waters,4220,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Burleigh Waters,4220,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Burnet Creek,4310,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Burnett Heads,4670,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Burpengary,4505,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Burra Burri,4413,Dalby CYMHS,4669 0501,wdmh@health.qld.gov.au,Darling Downs
Burrum,4659,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Burrum Heads,4659,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Burrum River,4659,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Burrum Town,4659,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Burua,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Burwood Height,4161,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Bushland Beach,4818,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Bushley,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Buxton,4660,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Byee,4605,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Byellee,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Byfield,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Bymont,4455,Roma CYMHS, 46242 719,Referral_Roma@health.qld.gov.au,South West
Byrnestown,4625,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Cabarlah,4352,Toowoomba CYMHS,4616 6843,Toowoomba_CYMHS@health.qld.gov.au ,Darling Downs
Cabbage Tree Point,4207,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Caboolture,4510,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Caboonbah,4313,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Caffey,4343,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Cairns,4870,Cairns CYMHS,4226 2700,cairnscymhsintake@health.qld.gov.au,Cairns & Hinterland
Calamvale,4116,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Calcium,4816,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Calen,4798,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Callemondah,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Callide,4715,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Calliope ,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Caloundra,4551,Sunshine Coast,5202 9500,SC-MHAS-DaltonDriveHub-Admin@health.qld.gov.au,Sunshine Coast
Calvert,4340,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Camboon,4719,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Cambooya,4358,Toowoomba CYMHS,4616 6843,Toowoomba_CYMHS@health.qld.gov.au ,Darling Downs
Cameron Corner,4492,Charleville CYMHS,4621 2200,SWHHS-Mental_Health_Services_Charleville@health.qld.gov.au,South West
Camira,4300,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Camoola,4730,Longreach CYMHS,4652 7951,cw.mhaods.referral@health.qld.gov.au,Central West
Camooweal,4828,Mount Isa CYMHS,4744 7103,mimhs@health.qld.gov.au,North West
Camp Creek,4871,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Camp Hill,4152,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Camp Mountain,4520,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Campaspe,4820,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Campbell’s Pocket,4514,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Campwin Beach,4737,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Canaga,4413,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Canal Creek,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Canal Estates,4217,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Cania,4630,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Canina,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Cannindah,4630,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Canningvale,4370,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Cannon Creek,4310,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Cannon Hill,4170,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Cannon Valley,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Cannonvale,4802,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Canoona,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Canungra,4275,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Canungra,4275,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Capalaba,4157,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Cape Cleveland,4810,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Cape Cleveland Beach,4810,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Cape Conway,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Cape Gloucester,4800,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Capella,4723,Emerald CYMHS,49839 750,Fax referral:  49839744,Central Queensland
Captain Creek,4677,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Carbrook,4130,Logan Central CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Cardstone,4854,Tully CYMHS, 4068 4111,CAMHS@health.qld.gov.au,Cairns & Hinterland
Cardwell,4849,Tully CYMHS, 4068 4111,CAMHS@health.qld.gov.au,Cairns & Hinterland
Carina,4152,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Carina Heights,4152,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Carindale,4152,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Carmila,4739,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
Carmoo,4852,Tully CYMHS, 4068 4111,CAMHS@health.qld.gov.au,Cairns & Hinterland
Carneys Creek,4310,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Carole Park,4300,Inala CYMHS,2891 4200,CHQ-CYMHS-Inala@health.qld.gov.au,Children's Health
Carpendale,4344,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Carrara,4211,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Carrara,4211,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Carruchan,4816,Tully CYMHS, 4068 4111,CAMHS@health.qld.gov.au,Cairns & Hinterland
Carseldine,4034,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Carstairs,4806,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Carters Ridge,4563,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Cashmere,4500,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Castle Creek,4715,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Causeway Lake,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Cawarral,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Cecil Plains,4407,Toowoomba CYMHS,4616 6843,Toowoomba_CYMHS@health.qld.gov.au ,Darling Downs
Cedar Creek,4520,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Cedar Grove,4285,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Cedar Pocket,4570,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Cedar Vale,4285,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Ceratodus,4627,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Chambers Flat,4133,Browns Plains/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Chances Plain,4413,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Chandler,4155,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Chapel Hill,4069,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Chardons Bridge,4520,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Charleville,4470,Charleville CYMHS,4621 2200,SWHHS-Mental_Health_Services_Charleville@health.qld.gov.au,South West
Charlwood,4309,Goodna CYMHS,3817 2555,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Charters Towers ,4820,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Cheepie,4474,Charleville CYMHS,4621 2200,SWHHS-Mental_Health_Services_Charleville@health.qld.gov.au,South West
Chelmer,4068,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Cherbourg,4605,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Chermside,4032,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Chermside South,4032,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Chermside West,4032,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Cherwell,4659,Hervey Bay (Wide Bay South) CYMHS,4128 5400,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Chevron Island,4217,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Childers,4660,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Chillagoe,4871,Mareeba (Tablelands CYMHS) CYMHS,4092 9171,Fax Referral:  40929170,Cairns & Hinterland
Chinchilla,4413,Chinchilla CYMHS,4662 8873,Dalby (Incl Chinchilla) Fax referral:  46690794,Darling Downs
Chirn Park,4215,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Chorregon,4730,Longreach CYMHS,4652 7951,cw.mhaods.referral@health.qld.gov.au,Central West
Christmas Creek,4285,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Churchable,4343,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Churchill,4305,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Chuwar,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Cinnabar,4600,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Clagibara,4211,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Clairview,4741,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
Clare,4807,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Clarendon,4311,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Clarke Creek,4705,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
Clayfield,4011,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Clear Island Waters,4226,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Clear Island waters,4226,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Clear Mountain,4500,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Clemant,4816,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Clemant Beach,4816,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Clermont,4721,Moranbah CYMHS, 4941 4680,moranbah_mentalhealth@health.qld.gov.au,Mackay & Whitsundays
Cleveland,4163,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Clifton,4361,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Clifton Hill,4105,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Clinton,4680,Gladstone CYMHS,4976 3244,Fax referral:  49763377,Central Queensland
Clintonvale,4370,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Cloncurry,4824,Mount Isa CYMHS,4744 7103,mimhs@health.qld.gov.au,North West
Clontarf,4019,Caboolture/Redcliffe CYMHS,5316 3100,RCCYMHS_GROUPS@health.qld.gov.au ,Metro North
Closeburn,4520,Pine Rivers CYMHS,3817 6380,CHQ-CYMHS-PineRivers@health.qld.gov.au,Children's Health
Cloyna,4605,Kingaroy CYMHS,41629254,SBMHAODS@health.qld.gov.au,Darling Downs
Clueden,4811,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Clumber,4309,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Coal Creek,4312,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Coalfalls,4305,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Coalstoun Lakes,4621,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Cobraball,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Cockatoo,4419,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Coconuts,4860,Innisfail CYMHS,40161327,CAMHS@health.qld.gov.au,Cairns & Hinterland
Coen ,4892,Cape CYMHS,4083 5900,TCHHS-MHATODS-CAPE@health.qld.gov.au,Torres & Cape
Colevale,4808,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Coleyville,4307,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Colinton,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
College view,4343,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Collingwood,4301,Longreach CYMHS,4652 7951,cw.mhaods.referral@health.qld.gov.au,Central West
